car_id,make,model,trim,year,title,description,photo_url,price_aed,mileage_km,body_type,exterior_color,transmission,fuel_type,condition,warranty_years,regional_spec
0,ferrari,f430,standard,2007,2007 | Ferrari | F430 (Car by Al Tayer),"A decade of experience in Luxury car selling and buying. Every model for sale has been delivered to the highest level of quality standards.
DESCRIPTION
• Car Name: Ferrari F430 (Car by Al Tayer)
• Spec: US
• Mileage: 35,711 Kms
To find out more about Who We Are & to view our latest collection
We welcome you to visit our showroom — open 7 days a week:
* Monday to Saturday: 10 AM – 9 PM
* Sunday: 12 PM - 6 PM
You can also stay connected with us on",https://dbz-images.dubizzle.com/images/2024/05/18/efe71dbbc361422a82950ff3aa798208-.jpeg?impolicy=dpv,,35711.0,,,,,,,US
1,mercedes-benz,glc-class,glc 200 4matic,2026,2026 Mercedes GLC 200 Coupe 0KM | 2 Years Warranty,"Experience the perfect blend of luxury, performance, and style with the 2026 Mercedes GLC 200 Coupe. This sleek black GCC-spec vehicle with 0KM offers a smooth and powerful drive, premium interior features, and modern technology designed for comfort and elegance. With a 2-year warranty included, it is an ideal choice for anyone looking for a reliable and high-performance luxury SUV in the UAE. Available now at Steer Well Auto, your trusted destination for quality Mercedes vehicles in Dubai.
Key Details:
• Model: 2026 Mercedes GLC 200 Coupe
• GCC Specifications
• 0KM
• Exterior: Black
• Engine: 2.0L 4-Cylinder Petrol
• Power: 220HP for smooth and responsive performance
• Premium interior with advanced features
• 2 Years Warranty Included
• Luxury SUV combining style, comfort, and reliability
• Perfect for buyers searching for Mercedes GLC 200 in Dubai and UAE
• Available at Steer Well Auto – Trusted Dealer in Dubai
*NOTE: The aforementioned Price is Exclusive of 5% VAT.
•••••••••••••••••••••••••••••••••••••••••••••
Our Services:
• After Sales Service.
• Registration Assistance
• Best deals by country and continent.
• Dedicated team support for export buying.
• From unique to trendy, we offer a wide range of vehicle choices.
• Interactive updates of process and shipping history for export sales.
•••••••••••••••••••••••••••••••••••••••••••••
WHY CHOOSE STEER WELL CARS?
• Since 1984
• Over 1500 vehicles.
• Flexible buying options.
• Known for the Best Price in the Market.
• One of the oldest auto dealers in the UAE market.
• Experience in shipping worldwide for export sales.
• Excellent customer service and buying/selling experience.
•••••",https://dbz-images.dubizzle.com/images/2025/11/24/8fb439787eed40b4b4e5d45c3c1d95b6-.jpeg?impolicy=dpv,,0.0,suv,Black,,petrol,new,2.0,GCC
2,ford,territory,titanium,2024,"1,430AED / Month | 0% DP AVAIL | TERRITORY TITANIUM 1.8 | FORD WARRANTY","SUMMARY
• Zero down payment available
• Full Ford service history
• Ford warranty until 6/2028 or 100,000 kms
• Ford Service Plan until 6/2028 or 100,000 kms
• GCC Specification
• Trade-In or Part Exchange Accepted
TRANSMISSION & POWER
• 7 Speed Automatic Transmission
• Max Power: 190 Hp | Max Torque: 320 Nm
HIGHLIGHTS
• 18” Ford Alloy wheels
• Cruise control
• Apple CarPlay & Android Auto
• Auto hold braking
• Auto start and stop
• Premium audio system
• Auto opening tailgate
• ISOFIX child seat restraints
• Leather interior
• Parking camera and parking sensors
• Sunroof
• Tire pressure monitoring
• Touchscreen entertainment system
SPEAK TO THE TEAM",https://dbz-images.dubizzle.com/images/2025/12/05/985b61ed0d65451094a61e301eebf4ed-.jpeg?impolicy=dpv,,,suv,,automatic,,used,,GCC
3,chevrolet,malibu,other,2024,شفروليه ماليبو 2024 فل بانوراما أوراق جمارك,"ماليبو 2024
فل بانوراما أوراق جمارك
بحاله ممتازه
ضمان فحص المرور
ممكن التمويل عن طريق البنك بدون دفعه أولى",https://dbz-images.dubizzle.com/images/2025/12/09/1f277e3ec5604815883311e77fd90363-.heic?impolicy=dpv,,,,,,,,,
4,haval,h9,4wd,2026,Haval H9 2026 GCC specs | Agency Warranty,"Payment plans through bank finance:
• AED 2,040.00 monthly for 5 years with 10% Down-Payment
• AED 1,813.00 monthly for 5 years with 20% Down-Payment
• AED 115,750.00 in cash
Discover the exceptional 2026 Haval H9 Medium SUV – a stunning blend of sophistication, power, and innovation. With a remarkable 2.0 L petrol engine delivering 218 hp , this 4WD vehicle ensures a dynamic driving experience, complemented by an 8-speed automatic transmission.
Step inside to indulge in luxury with leather upholstery and a stylish orange interior. The Haval H9 offers seamless connectivity with Apple CarPlay and Android Auto integrated into the multimedia navigation system. You’ll appreciate the convenience of keyless entry, push-button start , and advanced electronic controls.
Safety is paramount with features such as ABS, TCS, TPMS, Parktronic systems, and a 360° camera. Navigate effortlessly with hill-assist control, downhill-assist control , and traffic-sign recognition. The Agency Warranty covers 6 years or 200,000 km, ensuring peace of mind.
• Flexible Down-Payment Options Available
• Brand New – Only 18 km mileage
• Price excludes 5% VAT
Elevate your adventures with the Haval H9 – where luxury meets performance. Book a test drive today!
Equipment:
• Anti-lock braking system (ABS)
• Traction control system (TCS)
• Tire-pressure monitoring system (TPMS)
• On-board computer
• Cruise control
• Parktronic front and rear
• 360° camera
• Hill-assist control (HAC)
• Traffic-sign recognition (TSR)
• Push button start
• Keyless entry
• Navigation system
• Multimedia system
• Apple CarPlay
• Android Auto
• Audio system
• Multifunction steering wheel
• Leather upholstery
• Sunroof
• Gear shift paddles
• Downhill-assist control (DAC)
• Decorative interior lighting
• Electronic dashboard
• Orange interior
• Touchscreen
• Electronic",https://dbz-images.dubizzle.com/images/2026/04/02/3c22f57ed4e34b259fb82ccfbb589a95-.jpeg?impolicy=dpv,115750.0,18.0,suv,,automatic,petrol,new,6.0,GCC
5,mercedes-benz,c-class,c200,2021,AED 1611/month | 2021 Mercedes-Benz C-Class C200 | GCC Specs | Ref#410818,"Starting from 1611 per month
Payable in 60 months
20% down payment
**Bank terms & conditions may apply
2021
Mercedes-Benz C-Class
2000 - 2499 cc 4 cylinders
100 - 199 HP
--------------------------------------------
GCC Specs
77820 kms
1. Black with Leather Interior
2. Bluetooth System
3. Cruise Control
4. Tiptronic Gears
5. Park Assist
6. Lane Change Assist
7. Blind Spot Indicator
8. Power Seats
9. Dual Sunroof
10. Keyless Entry and Start
11. 360 Degree Camera
12. Front and Rear Parking Sensors
13. Rear Wheel Drive
--------------------------------------------
AED 106000
--------------------------------------------
Buy this car with confidence from dubizzle cars!
What is dubizzle cars?
We believe the process of buying and selling a car in the UAE should be easy, transparent, and hassle-free. We help sellers find the right buyers for their cars, and buyers find the right cars for their needs.
What to expect from dubizzle cars?
✅ No guesswork
Know what you're buying with our standard condition report. All cars undergo a thorough bumper-to-bumper inspection at the time of listing and a 120-point report is available for serious buyers, which checks for engine leaks, electrical components, exterior paint condition and accident history, interior condition, and tire condition.
✅ No stress
Relax as the experts at dubizzle cars do all the work for you. We manage the interaction between the buyer and seller, from beginning to end. Your funds are fully protected at the transaction stage since we manage the ownership title transfer at RTA/Muroor.
Best part?
Need a more comprehensive inspection?
Upgrade to the advanced c",https://dbz-images.dubizzle.com/images/2026/01/08/3e6bc8b063a7433391391e1938bb2d6f-.jpeg?impolicy=dpc,106000.0,77820.0,sedan,Black,,,used,,GCC
6,audi,q8,55 tfsi quattro s line,2023,"4,000 P.M | 0% DownPayment | Under Warranty | SummerOffer ABT BodyKit","SUMMER OFFER ☀️⏳
✅ FREE REGISTRATION 📝
✅ FREE WINDOW TINTING 🪟✨
✅ FREE 1 YEAR PREMIUM WARRANTY 🛡️📅
✅ FREE SALIK TAG 🚗🔖
T&Cs apply.
Under Premium Warranty
⸻
Why This Audi Q8 55 TFSI Quattro S Line?
Luxury sport SUV combining sophisticated design, advanced technology, and powerful V6 performance with quattro all-wheel drive capability. This 2023 model is a pristine, accident-free GCC example with full service history and excellent condition. It comes with comprehensive warranty and service package for complete peace of mind. We offer this exceptional luxury SUV at the most competitive price in the market.
⸻
Flexible Bank Financing Options:
• Option 1: AED 4,000/month for 5 years – 0% Down Payment
• Option 2: AED 2,700/month for 5 years – 20% Down Payment
Selling Price: AED 204,999
(Plus applicable government taxes)
⸻
Audi Q8 55 TFSI Quattro S Line Highlights:
• 3.0L V6 TFSI Engine
• quattro All-Wheel Drive System
• 8-Speed Tiptronic Automatic Transmission
• S Line Exterior & Interior Package
• Audi Virtual Cockpit Plus
• MMI Navigation Plus with Touchscreen
• Apple CarPlay & Android Auto
• Bang & Olufsen Premium Sound System
• Panoramic Glass Sunroof
• 360° Camera & Parking Sensors
• Keyless Entry & Push Start
• Leather Sports Seats with Power Adjustment
• 21"" Audi Sport Alloy Wheels
• Multiple Drive Modes
• Advanced Safety Features
• Heating & Cooling Seats
• Head-Up Display
• ABT Sport Body Kit
⸻
Details:
• Mileage: 89,000 KM
• Warranty: 1 Year Premium Warranty
• Service: Can Be Added
• Ownership: GCC Spec | S Line Package | Accident-Free | Original Paint | Full Service History
⸻
Call/WhatsApp:
Website:
V",https://dbz-images.dubizzle.com/images/2026/01/16/05d0c1b7c19c43929a6ea8976e182b3e-.jpeg?impolicy=dpv,204999.0,89000.0,suv,,automatic,petrol,used,1.0,GCC
7,toyota,yaris,se,2023,"2023 | Toyota Yaris | V4, 1.5 | GCC | Ref#986","✅AL ARAM USED CARS
Address : Sharjah - Souq Al Haraj
Showroom No : Main Branch 34
Branch 2 : 357
Branch 3 : 332
Opening Time
From Saturday to Thursday:
9:00 AM to 9:00 PM
Friday : 4:00 PM TO 9:00 PM
---
اللآرام للسيارات المستعملة
موقعنا : الشارقة - سوق الحراج
موقعنا على الخارطة
Location map
لمزيد من العروض يرجى زيارة موقعنا
For more offers visit our website
Instagram : alaramcars
FaceBook : alaramusedcars
TikTok : alaramcars",https://dbz-images.dubizzle.com/images/2026/01/18/9cecabf3fe4a4c3ba1c774c87477a892-.jpeg?impolicy=dpv,,,,,,,,,GCC
8,nissan,maxima,sv,2020,2020 Nissan Maxima SV #360834,"3.5 V6 Front Wheel Drive
Payment : Cash / Credit Card",https://dbz-images.dubizzle.com/images/2026/01/25/0e58c1581de147599d244fc7187ba961-.jpeg?impolicy=dpv,,,,,,,,,
9,mercedes-benz,glc-class,glc 300 4matic,2020,2020 MERCEDES BENZ GLC300 4MATIC | GCC | EXCELLENT CONDITION |,"2020 MERCEDES BENZ GLC300 4MATIC | GCC | EXCELLENT CONDITION |
** NEW TIRES **
** NEW BATTERY **
VERY CLEAN EXTERIOR AND INTERIOR
Mercedes-Benz GLC
2.0L 4 cylinders
258 HP
--------------------------------------------
GCC Specifications
--------------------------------------------
1. white with Leather Interior
2. Climate Control
3. Bluetooth System
4. Navigation System
5. Cruise Control
6. Tiptronic Gears
7. Power Seats
8. Side Steps
9. Sunroof
10. Keyless Entry and Start
11. 360 Degree View Camera
12. Blind Spot Indicator
13. Park Assist
14. Front & Rear Parking Sensors
15. All Wheel Drive
SEVEN LUXURY CARS
THE TRUE DEFINITION OF LUXURY
** Multi brand dealer with decades of experience in the UAE for new and pre-owned luxury vehicles.
For more details follow us on INSTA ""sevenluxurycars"" and visit our showroom in Al Quoz industrial area 3 Dubai..",https://dbz-images.dubizzle.com/images/2026/02/03/ec72d409d9f145dfbad5bf5f9f9ad1a0-.jpeg?impolicy=dpv,,,suv,white,automatic,petrol,used,,GCC
